isrc,artist_id,artist_name,track_name,streams,weeks_in_charts,n_regions,danceability,energy,speechiness,instrumentalness,liveness,valence,tempo,song_length,song_age,explicit,n_playlists,sp_popularity,youtube_views,tiktok_counts,insta_followers_artist,monthly_listeners_artist,playlist_total_reach_artist,sp_fans_artist,shazam_counts,release_date,genre,label,top10,expert_rating
GBAHS1700036,3648,Ed Sheeran,What Do I Know?,92953024,367,35,83.8,49.2,3.8,0,26.2,89.5,115.092,3.95555,211.285714285714,0,2293,69,103010025,12900,31799118,54645910,333851354,16312741,0,2017-03-03,Pop,Warner Music,1,excellent
GBAHS1700028,3648,Ed Sheeran,Happier,312173124,1225,35,52.2,38.5,2.88,0,13.5,23.6,89.792,3.45866666666667,211.285714285714,0,5394,82,352922493,1400000,31799118,54645910,333851354,16312741,0,2017-02-27,Pop,Warner Music,1,poor
GBAHS1500470,3648,Ed Sheeran,English Rose,15108,5,1,57.9,64.9,3.52,0,12.5,18.4,114.593,3.06955,407.142857142857,1,332,44,117553,0,31799118,54645910,333851354,16312741,16057,2015-11-13,Pop,Warner Music,0,excellent
USUM71707712,5596,Billie Eilish,idontwannabeyouanymore,12768,5,2,50.9,41.6,4.43,0,11.5,26.2,170.08,3.39281666666667,188.285714285714,0,2664,78,257996586,333400,78388337,47632687,223834163,4355854,932167,2017-07-21,Rock,Universal Music,0,fair
US23A1500056,5596,Billie Eilish,ocean eyes,228294513,707,21,47.5,37,3.61,5.77,8.41,15.7,144.828,3.34266666666667,226.285714285714,0,4056,80,344374066,135800,78388337,47632687,223834163,4355854,1597040,2015-12-09,Rock,Universal Music,1,excellent
USUM71706941,5596,Billie Eilish,watch,11480,2,1,44.1,59.9,22.5,0.2,10.3,35,165.212,2.95871666666667,188.285714285714,0,1319,72,63824499,469,78388337,47632687,223834163,4355854,301766,2017-06-30,Rock,Universal Music,0,good
USUM72013019,5596,Billie Eilish,my future,77747843,97,35,44.4,30.9,6.2,13.2,35.2,8.75,104.745,3.46925,33.4285714285714,0,1404,80,84839384,85800,78388337,47632687,223834163,4355854,710348,2020-07-30,Rock,Universal Music,1,fair
GBAHS1700046,3648,Ed Sheeran,Nancy Mulligan,52726210,239,35,68,85.2,3.49,0,8.66,85.8,101.993,2.99645,211.285714285714,0,1609,66,100397085,1493,31799118,54645910,333851354,16312741,283627,2017-03-03,Pop,Warner Music,1,good
USNLR1300728,3648,Ed Sheeran,"I See Fire - From """"The Hobbit - The Desolation Of Smaug""""",21132377,471,24,58.1,5.49,3.97,0,7.18,23.4,152.037,5.014,428.714285714286,0,12388,73,112416646,15300,31799118,54645910,333851354,16312741,0,2013-01-01,Soundtrack,Universal Music,1,good
USUM71900767,5596,Billie Eilish,wish you were gay,199352351,329,35,85.3,35.1,24.1,9.38e-4,75.2,28.2,118.028,3.69238333333333,103.285714285714,0,2215,0,97653663,94900,78388337,47632687,223834163,4355854,502766,2019-02-03,Rock,Universal Music,1,excellent
GB6S41000012,3648,Ed Sheeran,She,15267,5,1,57.3,34.4,3.61,0,13,37.7,157.783,4.07755,351.857142857143,1,398,41,1198454,0,31799118,54645910,333851354,16312741,24975,2013-08-08,Pop,Warner Music,0,good
GBAHS1400091,3648,Ed Sheeran,I'm a Mess,1798677,58,10,69.7,37.7,3.97,0,9.99,33.6,138.754,4.07621666666667,407.142857142857,0,2975,67,43732472,644,31799118,54645910,333851354,16312741,267376,2014-06-16,Pop,Warner Music,0,excellent
GBAHS1700042,3648,Ed Sheeran,Barcelona,65546143,254,35,74.7,76,18.7,0,15.3,68.2,99.975,3.18578333333333,211.285714285714,0,1898,68,2674310,3623,31799118,54645910,333851354,16312741,245178,2017-03-03,Pop,Warner Music,1,good
USUM71900774,5596,Billie Eilish,goodbye,16134884,38,23,15.3,13.8,5.03,55,25.4,5.03,74.318,1.99016666666667,103.285714285714,0,480,69,10171604,161,78388337,47632687,223834163,4355854,26166,2019-03-05,Rock,Universal Music,1,excellent
USUM71803745,5596,Billie Eilish,bitches broken hearts,2628953,12,3,77.7,42.2,4.82,0.88,9.58,18.7,120.041,2.9412,188.285714285714,0,1485,75,45595279,614,78388337,47632687,223834163,4355854,353435,2018-03-29,Rock,Universal Music,0,good
USUM71900769,5596,Billie Eilish,my strange addiction,81688070,133,31,93.9,30.5,35.4,0.02,10.5,56.3,100.029,2.99815,103.285714285714,0,1225,74,47453515,107200,78388337,47632687,223834163,4355854,477465,2019-03-28,Rock,Universal Music,1,excellent
USUM71810049,5596,Billie Eilish,you should see me in a crown,109741912,204,35,67.8,53.3,18.6,21.9,13.9,32.3,150.455,3.01588333333333,103.285714285714,0,2758,22,229366366,166700,78388337,47632687,223834163,4355854,2193535,2018-07-18,Rock,Universal Music,1,good
USUM71922577,5596,Billie Eilish,everything i wanted,594991676,491,35,70.4,22.5,9.94,65.7,10.6,24.3,120.006,4.09043333333333,70.5714285714286,0,5459,86,210598263,71500,78388337,47632687,223834163,4355854,7180495,2019-11-13,Rock,Universal Music,1,good
USUM71707712,5596,Billie Eilish,idontwannabeyouanymore,134877101,430,25,48.3,41.2,4.02,0,11.6,24.7,170.163,3.39281666666667,188.285714285714,0,2664,78,257996586,333400,78388337,47632687,223834163,4355854,932167,2017-07-21,Rock,Universal Music,1,good
USUM71707712,5596,Billie Eilish,idontwannabeyouanymore,48966600,172,21,48.3,41.2,4.02,0,11.6,24.7,170.163,3.39281666666667,169.285714285714,0,2664,78,257996586,333400,78388337,47632687,223834163,4355854,932167,2017-07-21,Rock,Universal Music,1,good
USUM71706941,5596,Billie Eilish,watch,20764,1,1,44.7,60.2,21.9,0.23,10.7,35,165.041,2.95871666666667,188.285714285714,0,1319,72,63824499,469,78388337,47632687,223834163,4355854,301766,2017-06-30,Rock,Universal Music,0,fair
GBAHS1100211,3648,Ed Sheeran,Little Bird - Deluxe Edition,43741,3,2,84.3,42.5,3.52,0,10.2,28.4,104.02,3.74215,497.285714285714,0,640,52,0,0,31799118,54645910,333851354,16312741,0,2011-09-09,Pop,Warner Music,0,fair
GB6S41000006,3648,Ed Sheeran,Firefly,9187,3,1,60.2,31,3.73,0.01,10.5,36,159.917,4.25,484.285714285714,1,576,47,9498267,144,31799118,54645910,333851354,16312741,0,2011-12-24,Pop,Warner Music,0,excellent
GB6S41000011,3648,Ed Sheeran,Fire Alarms,6873,2,1,60.2,28.6,2.96,0,16.2,37.9,102.009,2.40021666666667,351.857142857143,1,189,41,259504,0,31799118,54645910,333851354,16312741,0,2011-12-18,Pop,Warner Music,0,good
GBAHS1700526,3648,Ed Sheeran,Baby One More Time - Recorded at Spotify Studios New York City,896190,12,28,79.2,30.7,5.22,0,8.34,63.1,104.511,2.95358333333333,197.571428571429,0,715,64,0,0,31799118,54645910,333851354,16312741,0,2017-06-07,Pop,Warner Music,0,good
USUM71900770,5596,Billie Eilish,bury a friend,171699755,58,35,90.5,38.9,33.2,16.2,10.6,19.6,120.046,3.21905,111.571428571429,0,4261,79,399709135,8511,78388337,47632687,223834163,4355854,2755292,2019-01-30,Rock,Universal Music,1,good
USUM71900765,5596,Billie Eilish,xanny,75431724,116,34,52.1,12.5,23.9,0.21,26.5,5.28,111.554,4.06208333333333,103.285714285714,0,942,75,89960205,27700,78388337,47632687,223834163,4355854,194819,2019-03-28,Rock,Universal Music,1,good
GBAHS1100199,3648,Ed Sheeran,Drunk,1631214,42,8,73.3,65.2,6.96,2.37e-4,52.1,45.9,99.998,3.33488333333333,497.285714285714,0,2945,43,108378389,6160,31799118,54645910,333851354,16312741,504112,2011-09-09,Pop,Warner Music,0,good
USUM71900770,5596,Billie Eilish,bury a friend,298707880,382,35,90.5,38.9,33.2,16.2,10.6,19.6,120.046,3.21905,103.285714285714,0,4261,79,399709135,8511,78388337,47632687,223834163,4355854,2755292,2019-01-30,Rock,Universal Music,1,good
GB6S41000009,3648,Ed Sheeran,Cold Coffee,2632,1,1,54.4,52.9,2.56,0,13.1,40.3,92.936,4.23711666666667,351.857142857143,1,607,53,1594796,346,31799118,54645910,333851354,16312741,73048,2012-01-19,Pop,Warner Music,0,excellent
USUM71900767,5596,Billie Eilish,wish you were gay,46356201,25,33,85.3,35.1,24.1,9.38e-4,75.2,28.2,118.028,3.69238333333333,106.857142857143,0,2215,0,97653663,94900,78388337,47632687,223834163,4355854,502766,2019-02-03,Rock,Universal Music,1,masterpiece
GBAHS1700040,3648,Ed Sheeran,Supermarket Flowers,88416587,508,35,58.9,24.2,4.42,0,8.87,25.7,89.749,3.68511666666667,211.285714285714,0,2970,76,133553716,95600,31799118,54645910,333851354,16312741,0,2017-02-27,Pop,Warner Music,1,excellent
GBAHS1100203,3648,Ed Sheeran,Small Bump,480917,17,6,81,43.6,7.17,0.02,11,44.6,119.973,4.32355,497.285714285714,0,2705,64,118133135,7665,31799118,54645910,333851354,16312741,505946,2011-09-09,Pop,Warner Music,0,poor
GBAHS1700022,3648,Ed Sheeran,Dive,133733853,630,35,76.1,38.6,3.99,0,9.53,52.6,134.943,3.974,211.285714285714,0,3489,74,207844846,8240,31799118,54645910,333851354,16312741,0,2017-03-03,Pop,Warner Music,1,good
USUM71615103,5596,Billie Eilish,bellyache,114384636,347,25,69.5,57.3,10.6,7.34,48.2,40.8,99.939,2.9862,212.285714285714,0,2589,68,486292024,8621,78388337,47632687,223834163,4355854,1353274,2017-02-24,Rock,Universal Music,1,good
GBAHS1100206,3648,Ed Sheeran,Lego House,1264946,48,10,59.2,63.7,9.92,0,13,56.5,159.701,3.08488333333333,497.285714285714,0,6602,57,15238585,17900,31799118,54645910,333851354,16312741,3129873,2011-09-09,Pop,Warner Music,0,good
USUM72021500,5596,Billie Eilish,Therefore I Am,269394372,129,35,88.9,34,6.97,13,5.5,71.6,94.009,2.90535,18.4285714285714,0,2692,91,141648329,3100000,78388337,47632687,223834163,4355854,2185476,2020-11-12,Rock,Universal Music,1,masterpiece
GBAHS1700030,3648,Ed Sheeran,New Man,82776310,290,35,78,74.5,14.5,0,5.95,86.2,94.026,3.15466666666667,211.285714285714,0,2042,68,3809982,4948,31799118,54645910,333851354,16312741,0,2017-03-03,Pop,Warner Music,1,fair
GBAHS1100207,3648,Ed Sheeran,"You Need Me, I Don't Need You",1488496,34,5,74.9,83.7,5.12,0,52.5,92.7,103.483,3.67355,497.285714285714,0,1981,35,0,630,31799118,54645910,333851354,16312741,398925,2011-09-09,Pop,Warner Music,0,good
GBAHS1400095,3648,Ed Sheeran,Bloodstream,1661606,72,10,66,31.6,3.64,0.03,10.4,54.3,91.207,5.00421666666667,407.142857142857,0,2864,66,4599555,342,31799118,54645910,333851354,16312741,896536,2014-06-16,Pop,Warner Music,0,fair
GBAHS1700245,3648,Ed Sheeran,Shape of You (feat. Zion & Lennox) - Latin Remix,32317326,228,10,78.7,87.2,8.71,1.51e-4,4.08,46,95.995,3.96106666666667,211.571428571429,0,1311,57,0,0,31799118,54645910,333851354,16312741,0,2017-03-17,Pop,Warner Music,1,excellent
USUM71707478,5596,Billie Eilish,COPYCAT,1494523,13,4,67.9,38.8,9.32,0.01,34.1,23.4,124.909,3.24518333333333,188.285714285714,0,1214,75,133597041,80300,78388337,47632687,223834163,4355854,882944,2017-07-14,Rock,Universal Music,0,good
USUM71803745,5596,Billie Eilish,bitches broken hearts,5117114,30,5,77.7,42.2,4.82,0.88,9.58,18.7,120.041,2.9412,155.285714285714,0,1485,75,45595279,614,78388337,47632687,223834163,4355854,353435,2018-03-29,Rock,Universal Music,0,poor
GBAHS1701083,3648,Ed Sheeran,Perfect - Acoustic,1380358,63,7,43.2,37.7,3.04,0,11.4,39.4,94.973,4.34778333333333,175.285714285714,1,463,64,0,37400,31799118,54645910,333851354,16312741,359690,2017-11-10,Pop,Warner Music,0,good
GBAHS1100206,3648,Ed Sheeran,Lego House,47874,8,5,59.2,63.7,9.92,0,13,56.5,159.701,3.08488333333333,497.285714285714,1,6602,57,15238585,17900,31799118,54645910,333851354,16312741,3129873,2011-09-09,Pop,Warner Music,0,fair
GBAHS1700200,3648,Ed Sheeran,Shape of You - Acoustic,5968550,75,20,84.3,40,10.3,0,12.5,92.7,100.728,3.72621666666667,214.285714285714,0,1276,65,0,11000,31799118,54645910,333851354,16312741,171723,2017-02-10,Pop,Warner Music,0,good
USUM71707478,5596,Billie Eilish,COPYCAT,2662176,12,2,67.9,38.8,9.32,0.01,34.1,23.4,124.909,3.24518333333333,169.285714285714,0,1214,75,133597041,80300,78388337,47632687,223834163,4355854,882944,2017-07-14,Rock,Universal Music,0,good
GBAHS1800361,3648,Ed Sheeran,Happier - Acoustic,100845,3,2,49.3,40,2.61,1.47e-4,13.3,15,91.004,3.43681666666667,147.285714285714,1,315,60,0,34000,31799118,54645910,333851354,16312741,55364,2018-05-25,Pop,Warner Music,0,good
GBAHS1700198,3648,Ed Sheeran,Castle on the Hill - Acoustic,117612,9,3,56.3,26,3.91,0,14.6,61.6,145.561,3.77045,214.285714285714,0,485,60,0,0,31799118,54645910,333851354,16312741,0,2017-02-10,Pop,Warner Music,0,good
GB6S41000020,3648,Ed Sheeran,Let It Out,19552,6,1,73.1,60.3,3.78,1.1,14.7,61.9,96.973,3.85911666666667,484.285714285714,1,365,44,0,0,31799118,54645910,333851354,16312741,0,2012-02-12,Pop,Warner Music,0,good
USUM71900773,5596,Billie Eilish,i love you,128265348,354,28,42.1,13.1,3.82,0.45,10.9,12,137.446,4.86326666666667,103.285714285714,0,2092,6,33532582,4825,78388337,47632687,223834163,4355854,826523,2019-03-28,Rock,Universal Music,1,fair
GBAHS1400094,3648,Ed Sheeran,Photograph,318999237,1534,35,61.4,37.9,4.76,0.05,9.86,20.1,107.989,4.31645,407.142857142857,0,16857,84,1087668770,58700,31799118,54645910,333851354,16312741,13371470,2014-06-16,Pop,Warner Music,1,excellent
GBAHS1400090,3648,Ed Sheeran,Don't,7568984,157,25,80.6,60.8,6.59,0,63.5,84.9,95.049,3.664,407.142857142857,0,9235,71,186322068,8406,31799118,54645910,333851354,16312741,7795454,2014-06-09,Pop,Warner Music,0,poor
USUM71900766,5596,Billie Eilish,all the good girls go to hell,105095062,275,34,72.6,44.4,37.2,14.3,17.7,56.9,185.044,2.814,103.285714285714,0,1690,77,178557878,3485,78388337,47632687,223834163,4355854,1093343,2019-03-28,Rock,Universal Music,1,excellent
USNLR1300700,3648,Ed Sheeran,I See Fire,10814,1,2,58.1,5.49,3.97,0,7.18,23.4,152.037,5.014,379.714285714286,0,12,50,0,0,31799118,54645910,333851354,16312741,0,2015-03-16,Pop,Independent,0,excellent
GBAHS1600462,3648,Ed Sheeran,Castle on the Hill,498013905,938,35,46.1,83.4,9.89,0,14,47.1,135.007,4.35256666666667,211.285714285714,0,12133,19,448692118,854100,31799118,54645910,333851354,16312741,33606,2017-01-06,Pop,Warner Music,1,fair
GBAHS1700038,3648,Ed Sheeran,How Would You Feel (Paean),83028469,342,35,61.7,43.9,2.69,0,12.7,24.2,139.979,4.67555,211.285714285714,0,3117,69,107898095,779,31799118,54645910,333851354,16312741,0,2017-02-17,Pop,Warner Music,1,good
GBAHS1700525,3648,Ed Sheeran,Castle on the Hill - Recorded at Spotify Studios New York City,3658,1,1,55.6,35.5,3.98,0,11.8,64.4,147.58,3.76318333333333,197.571428571429,1,175,60,0,0,31799118,54645910,333851354,16312741,0,2017-06-07,Pop,Warner Music,0,fair
GBAHS1700044,3648,Ed Sheeran,Bibia Be Ye Ye,38945208,128,35,73.8,67.7,8.24,0,13.3,88.2,127.067,2.94578333333333,211.285714285714,0,1409,66,60158524,204,31799118,54645910,333851354,16312741,428180,2017-03-03,Pop,Warner Music,1,fair
GBAHS1400100,3648,Ed Sheeran,Afire Love,10698,3,1,55.2,63.7,4.45,0,13.6,33.3,97.97,5.238,407.142857142857,1,2174,60,70529404,14,31799118,54645910,333851354,16312741,416284,2014-06-15,Pop,Warner Music,0,good
GBAHS1700048,3648,Ed Sheeran,Save Myself,34934231,106,35,55.2,29,4.48,0,22.7,48.1,78.842,4.11845,211.285714285714,0,1460,67,2975638,427,31799118,54645910,333851354,16312741,164644,2017-03-03,Pop,Warner Music,1,good
GBAHS1400082,3648,Ed Sheeran,Sing,1302668,60,12,81.8,67,4.72,1.22e-4,6.01,93.9,119.988,3.92303333333333,407.142857142857,0,8389,70,215772557,3454,31799118,54645910,333851354,16312741,7693688,2014-04-07,Pop,Warner Music,0,good
USUM71810049,5596,Billie Eilish,you should see me in a crown,55975472,179,25,69.7,55.2,19.6,12.7,14.7,27.8,75.235,3.00945,139.571428571429,0,2758,22,229366366,166700,78388337,47632687,223834163,4355854,2193535,2018-07-18,Rock,Universal Music,1,masterpiece
GBAHS1400096,3648,Ed Sheeran,Tenerife Sea,9783743,172,25,53,34.6,3.76,0,10.5,35.9,121.876,4.02245,407.142857142857,0,5560,69,7623294,404,31799118,54645910,333851354,16312741,436093,2014-06-16,Pop,Warner Music,0,good
USUM71900768,5596,Billie Eilish,8,28632208,54,26,73.5,23.5,31.5,0.6,10.7,46.2,62.446,2.8867,103.285714285714,0,684,72,0,1032,78388337,47632687,223834163,4355854,100843,2019-03-28,Rock,Universal Music,1,excellent
USUM72002771,5596,Billie Eilish,No Time To Die,121455669,137,35,38,21.9,3.58,1.04,8.27,5.17,73.537,4.03775,57.4285714285714,0,1898,79,97917256,3111,78388337,47632687,223834163,4355854,826081,2020-02-12,Rock,Universal Music,1,good
GBUM71800115,3648,Ed Sheeran,Candle In The Wind - 2018 Version,1404891,71,7,54.9,44.9,4.55,0,11.7,50.6,76.028,3.31295,154.285714285714,1,373,62,0,0,31799118,54645910,333851354,16312741,84853,2018-04-05,Rock,Universal Music,0,fair
USUM71706941,5596,Billie Eilish,watch,63376,3,1,44.7,59.8,21.1,0.39,10.8,35,165.163,2.95871666666667,190.285714285714,0,1319,72,63824499,469,78388337,47632687,223834163,4355854,301766,2017-06-30,Rock,Universal Music,0,excellent
GBAHS1500471,3648,Ed Sheeran,Touch and Go,16406,5,1,81.2,54.2,4.44,0.01,14.1,73.3,110.268,4.01645,407.142857142857,1,598,58,183514,12,31799118,54645910,333851354,16312741,71059,2015-11-13,Pop,Warner Music,0,good
USUM71706941,5596,Billie Eilish,watch,98178,4,1,44.1,59.9,22.5,0.2,10.3,35,165.212,2.95871666666667,169.285714285714,0,1319,72,63824499,469,78388337,47632687,223834163,4355854,301766,2017-06-30,Rock,Universal Music,0,good
US23A1500056,5596,Billie Eilish,ocean eyes,27799975,79,14,51.1,36.3,4.1,3.17,8.4,16.9,144.892,3.33965,169.285714285714,0,4056,80,344374066,135800,78388337,47632687,223834163,4355854,1597040,2015-12-09,Rock,Universal Music,1,good
USUM71706941,5596,Billie Eilish,watch,889256,39,2,45.1,60.2,22,0.28,10.4,34.8,164.985,2.95871666666667,188.285714285714,0,1319,72,63824499,469,78388337,47632687,223834163,4355854,301766,2017-06-30,Rock,Universal Music,0,good
GBAHS1700020,3648,Ed Sheeran,Eraser,45923650,155,35,64,81.2,8.34,0,5.09,91.4,86.013,3.79045,211.285714285714,0,1507,61,58650222,562,31799118,54645910,333851354,16312741,0,2017-03-03,Pop,Warner Music,1,good
USUM71900771,5596,Billie Eilish,ilomilo,39796217,115,27,85.5,42.3,5.85,46.9,8.96,57.2,120.02,2.60618333333333,103.285714285714,0,1038,74,29888662,1878,78388337,47632687,223834163,4355854,2658433,2019-03-28,Rock,Universal Music,1,fair
GBAHS1600463,3648,Ed Sheeran,Shape of You,2165692479,1532,35,82.5,65.2,8.02,0,9.31,93.1,95.977,3.89521666666667,211.285714285714,0,28754,86,5225251113,780900,31799118,54645910,333851354,16312741,1137483,2017-01-06,Pop,Warner Music,1,fair
USUM71900059,5596,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,6951014,25,20,69.6,33.2,4.25,43.3,8.48,6.28,150.13,4.50866666666667,114.571428571429,0,695,1,155707,0,78388337,47632687,223834163,4355854,138147,2019-01-09,Rock,Universal Music,0,fair
USUM71818958,5596,Billie Eilish,come out and play,42644497,124,30,64,32.1,9.31,3.07,11.4,17.7,145.045,3.50626666666667,121.714285714286,0,1265,71,29654084,1756,78388337,47632687,223834163,4355854,370678,2018-11-20,Rock,Universal Music,1,good
DEXJ21800011,329399,Veysel feat. ElGrandeToto,Très jolie,236873,4,2,64.6,68.3,29.1,0.1,10.9,22.5,175.717,2.60911666666667,120.285714285714,0,27,46,0,0,1474231,2416003,11306310,203729,20183,2018-11-30,HipHop/Rap,Universal Music,0,excellent
ITQ001700520,128965,Shade feat. Federica Carta,Irraggiungibile (feat. Federica Carta),30822739,364,1,65.3,79.7,3.91,0,17.7,71,128.215,3.5332,174.285714285714,0,152,50,131159846,0,750254,1014622,2999658,64343,535182,2017-11-16,HipHop/Rap,Warner Music,1,excellent
SEPQA1900064,1469138,Aden x Asme feat. Dani M,Kommit långt (feat. Dani M),153646,6,1,56.2,64.6,35,0,13,55.5,99.988,3.36,92.4285714285714,0,53,39,0,0,0,282631,516560,1645,0,2019-06-13,HipHop/Rap,Warner Music,0,good
USAT21801136,729342,Bhad Bhabie feat. Lil Yachty,Gucci Flip Flops (feat. Lil Yachty),4739678,71,4,82.2,62.2,31.4,1.81,11.4,18,160.066,2.5,155.857142857143,0,1685,70,36104443,582600,17103297,3474572,13164250,88929,0,2018-03-26,HipHop/Rap,Warner Music,0,good
USUG11800159,1407,Thirty Seconds To Mars feat. Halsey,Love Is Madness (feat. Halsey),475400,6,12,38.2,67.5,4.41,0.02,21.9,44.9,106.171,3.91445,154.285714285714,0,373,58,2306968,604,1388953,5275404,23663908,1459238,82931,2018-04-05,Rock,Universal Music,0,excellent
ES71G1725338,210743,Moral Distraida feat. Joe Vasconcellos,La Funa 2017,18992,1,1,67.8,96,4.51,0,30.7,96.1,103.997,3.35488333333333,126.285714285714,1,26,36,0,0,177245,708240,2118184,3849,0,2017-06-30,Pop,Independent,0,excellent
KRA381705417,4286,AOA,Bingle Bangle,76503,9,4,80.2,86.4,6.39,0,33.5,74.5,111.994,3.69631666666667,146.857142857143,1,420,47,27782972,0,153786,404083,2708875,261,34244,2018-05-28,Pop,Independent,0,good
DECE71900324,875275,Lil Lano,Hollywood Hills,2447522,28,2,86.4,56.8,18.6,0,15.3,91.7,137.982,3.2052,88.2857142857143,0,26,46,2944931,0,454,750414,993262,15581,0,2019-07-12,HipHop/Rap,Universal Music,0,excellent
NOGTH1735910,317575,Rotlaus,Syng mej en song,143931,13,1,54.9,87.2,3.32,0,30.2,66,130.953,3.68,164.285714285714,0,114,46,0,0,26902,269416,694845,205,1832,2017-08-04,Rock,Universal Music,0,good
DEUM71723929,209090,Luciano,Flex,1677313,35,2,91.7,60.9,33.1,1.78e-4,12.5,28.8,140.002,2.33911666666667,181.428571428571,0,117,42,0,529,1586001,4075957,14702728,190509,10267,2017-09-27,HipHop/Rap,Universal Music,0,fair
DED832000029,154807,Nightwish,Harvest,78473,7,1,53.4,47.4,3.01,0.29,9.94,37.1,102.337,5.23223333333333,49.2857142857143,1,60,53,2144131,37,213885,1883039,6268194,873970,7701,2020-03-06,Rock,Independent,0,excellent
FR0U92000168,208636,Kalash Criminel,J'oublie pas,349968,5,2,87.4,66.9,10.4,0.18,12.3,85.9,142.033,2.74311666666667,17.2857142857143,0,6,44,0,9,1262866,1070788,2795294,566851,0,2020-11-19,HipHop/Rap,Independent,0,excellent
FR8R61700005,1978,Booba,Ridin',9455923,136,3,76.2,72.9,4.32,0,11.1,45.8,138.976,3.52421666666667,172.285714285714,0,55,50,0,104,1687197,3090383,9727621,4653324,0,2017-11-30,HipHop/Rap,Universal Music,0,good
TCADK1732074,521698,Eves Laurent,Dope Talk Interlude,20233,1,1,60.2,74.5,37.9,1.12e-4,6.73,68.4,122.954,2.7433,160.857142857143,1,5,31,0,0,0,193491,1677663,1106,0,2018-02-18,Pop,Independent,0,good
