customerID,time_on_site_1,time_on_site_2
2028,367,600
2382,653,686
2608,174,17
2544,239,429
2228,715,1364
2655,761,796
2520,799,572
2094,562,1217
2149,711,719
2093,680,599
2498,865,639
2126,675,620
2144,501,313
2159,561,272
2541,1034,1009
2518,672,627
2629,290,1108
2221,1309,907
2639,150,1142
2365,596,1008
2663,769,396
2409,796,417
2334,756,844
2621,160,1154
2480,519,464
2061,573,493
2051,307,677
2624,419,1331
2661,263,736
2103,322,942
2437,273,435
2347,20,723
2307,818,592
2396,484,550
2549,533,736
2446,794,951
2309,936,941
2726,292,712
2244,714,202
2497,481,893
2694,719,849
2098,933,1136
2491,325,1151
2528,786,129
2247,98,579
2058,882,1077
2305,580,618
2069,770,758
2668,453,314
2504,651,923
2115,906,756
2372,438,992
2680,64,1508
2371,541,846
2732,130,1505
2364,305,672
2373,628,1280
2052,747,1020
2692,530,1223
2268,569,368
2349,280,1006
2100,684,862
2353,537,661
2538,1110,587
2087,809,454
2736,685,169
2112,642,786
2427,891,1147
2021,223,965
2346,25,534
2183,760,1064
2519,680,740
2696,476,923
2678,226,513
2369,748,645
2532,1131,508
2658,263,105
2556,273,129
2502,503,560
2264,595,333
2681,639,1126
2324,1196,482
2626,922,755
2121,1035,381
2284,647,668
2154,919,548
2057,489,471
2109,768,1168
2071,315,717
2722,816,194
2565,911,516
2381,286,839
2064,578,1643
2612,397,830
2547,352,686
2421,738,408
2138,889,1030
2250,211,875
2084,515,525
2713,570,527
2310,492,223
2490,477,424
2118,721,841
2358,393,911
2030,978,961
2176,1178,1207
2468,724,956
2499,721,833
2242,278,705
2072,180,363
2074,358,737
2436,648,464
2592,626,536
2207,849,217
2677,931,938
2632,548,1176
2594,335,673
2466,235,805
2394,963,953
2135,277,172
2627,1032,972
2430,1270,873
2398,864,219
2130,741,1133
2317,491,1026
2195,1213,981
2671,629,656
2573,488,442
2703,670,242
2683,1160,505
2158,640,830
2529,640,820
2124,254,964
2140,514,1162
2348,981,889
2332,581,851
2143,725,530
2097,942,790
2370,627,431
2511,773,518
2357,134,171
2301,645,827
2148,325,303
2727,831,1171
2591,547,448
2299,532,588
2266,738,872
2308,650,946
2204,717,1162
2257,389,697
2602,490,315
2647,657,1243
2414,841,265
2003,774,655
2036,651,705
2077,814,551
2702,556,660
2712,736,956
2199,334,765
2157,964,739
2177,559,1217
2312,663,704
2274,817,777
2628,669,1218
2457,594,423
2669,397,696
2013,500,453
2711,791,881
2731,933,884
2303,17,505
2408,606,810
2258,299,535
2238,1082,913
2380,239,604
2161,894,868
2067,154,848
2330,324,1129
2448,175,1076
2665,351,444
2581,553,1195
2563,60,853
2027,378,965
2648,502,428
2006,617,984
2254,490,673
2362,599,252
2192,879,686
2570,339,464
2514,915,530
2695,590,570
2536,589,441
2709,783,342
2686,184,547
2659,614,585
2339,10,311
2494,933,123
2173,549,903
2351,1018,230
2186,755,823
2283,800,736
2233,847,1290
2390,542,652
2568,657,802
2172,617,518
2583,586,986
2564,801,1243
2011,388,924
2422,1248,903
2462,742,895
2412,805,802
2080,220,1244
2374,260,594
2413,522,741
2379,778,681
2117,601,679
2679,960,161
2111,1002,163
2323,910,1256
2205,1322,574
2425,699,311
2670,392,1220
2489,945,663
2156,1014,599
2454,724,449
2723,761,970
2127,387,751
2189,565,463
2016,185,940
2652,1067,1297
2617,1006,673
2579,742,555
2167,523,397
2150,578,825
2391,714,788
2292,626,759
2714,794,546
2642,439,755
2512,477,1146
2645,709,1109
2718,733,432
2638,791,910
2147,571,683
2699,946,639
2534,617,1214
2476,438,885
2620,676,316
2420,283,74
2295,320,1142
2230,338,1302
2368,554,1053
